product_id,product_name,category,price,cost,stock_quantity,reorder_level
365,Studio Laptop Charger #365,Electronics,336.46,215.99,0,108
366,Deluxe Gym Bag,Sports,9.17,5.38,441,11
367,Pro Honey Jar #367,Grocery,8.07,4.58,371,89
368,Compact Laptop Charger #368,Electronics,193.36,140.66,0,38
369,Pro Art Kit,Toys,65.9,48.5,122,77
370,Orbit Laptop Sleeve #370,Electronics,226.58,98.07,1128,79
371,Heritage Yo-Yo,Toys,84.3,40.41,556,30
372,Urban Stainless Mixing Bowl,Home & Kitchen,120.4,88.77,55,83
373,Northstar Resistance Band,Sports,144.92,58.42,551,25
374,Willow Yoga Mat,Sports,64.98,27.39,512,109
375,Northstar Phone Stand,Electronics,374.49,243.03,651,23
376,Lite Yo-Yo #376,Toys,61.96,45.6,1286,101
377,Nimbus Book Ends,Books,39.98,21.64,362,57
378,Deluxe Hoodie,Clothing,108.85,54.47,1147,40
379,Urban Hardcover Notebook,Books,26.28,13.58,368,21
380,Everyday Honey Jar,Grocery,11.28,6.08,279,67
381,Deluxe Dark Chocolate Bar,Grocery,13.83,6.84,109,96
382,Compact Knit Sweater,Clothing,16.52,8.33,1007,53
383,Trail Hardcover Notebook,Books,22.89,13.82,1494,27
384,Everyday Trail Mix Pack #384,Grocery,9.78,4.44,388,27
385,Studio Jump Rope,Sports,130.35,87.2,417,118
386,Pro Mechanical Keyboard,Electronics,196.87,111.04,1250,120
387,Lite Desk Planner,Books,29.26,21.78,903,43
388,Cedar LED Desk Lamp,Home & Kitchen,120.06,82.79,1053,63
389,Trail Board Game,Toys,53.56,39.19,521,81
390,Pro Stuffed Robot,Toys,7.91,4.79,475,94
391,Willow Book Ends,Books,20.69,9.94,1325,118
392,Northstar Plush Animal,Toys,31.59,15.37,1306,40
393,Classic Shower Gel,Beauty,19.85,14.63,449,108
394,Willow Spice Set,Grocery,9.54,6.28,1100,102
395,Studio Laptop Charger #395,Electronics,343.78,186.14,786,23
396,Apex Plush Animal,Toys,83.62,36.27,618,77
397,Summit Board Game #397,Toys,55.58,24.14,1381,21
398,Compact Hardcover Notebook,Books,16.19,6.9,1138,80
399,Nimbus Stainless Mixing Bowl,Home & Kitchen,39.01,25.05,1402,28
400,Lumen Resistance Band,Sports,35.15,16.69,70,92
401,Harbor Face Serum,Beauty,73.48,52.95,28,114
402,Summit Makeup Mirror,Beauty,49.9,35.84,814,113
403,Everyday HDMI Cable,Electronics,260.35,186.55,186,81
404,Lite Cycling Gloves,Sports,38.13,28.38,70,114
405,Heritage Laptop Sleeve,Electronics,80.96,53.63,1386,28
406,Summit Shower Gel,Beauty,16.3,11.21,1331,67
407,Cascade Laptop Sleeve,Electronics,375.83,209.38,266,57
408,Heritage Water Bottle,Home & Kitchen,31.13,12.76,576,107
409,Cedar Tennis Ball Pack,Sports,114.91,63.58,1162,43
410,Studio Hardcover Notebook,Books,24.3,17.39,54,115
411,Heritage Sketch Pad,Books,30.31,15.52,610,19
412,Apex Nail Kit,Beauty,40.21,22.27,514,40
413,Summit Foam Roller,Sports,130.48,79.31,754,31
414,Willow Hardcover Notebook,Books,29.76,18.97,0,97
415,Compact Kitchen Scale,Home & Kitchen,53.34,38.0,1092,113
416,Cedar Water Bottle,Home & Kitchen,88.66,46.09,1176,56
417,Cascade Yoga Mat #417,Sports,138.42,55.96,1222,30
418,Studio Foam Roller,Sports,117.86,69.75,1013,75
419,Urban Oven Mitt,Home & Kitchen,50.17,34.66,1129,20
420,Apex Puzzle Set,Toys,61.32,37.62,1422,82
421,Nimbus HDMI Cable,Electronics,89.18,42.29,91,22
422,Trail Cutting Board,Home & Kitchen,126.79,90.73,52,88
423,Nimbus Book Ends #423,Books,28.75,15.79,298,98
424,Cedar Nail Kit #424,Beauty,73.08,30.74,1110,53
425,Cascade USB Flash Drive,Electronics,243.74,122.47,80,56
426,Pro Baseball Cap,Clothing,61.65,28.45,1392,51
427,Studio Monitor Light Bar #427,Electronics,297.46,214.03,329,19
428,Studio Sketch Pad #428,Books,28.99,18.39,207,112
429,Pro Shower Gel #429,Beauty,68.1,29.2,749,95
430,Cedar Wool Beanie,Clothing,98.66,57.49,1297,20
431,Classic Desk Planner,Books,25.06,15.52,495,93
432,Apex Green Tea Box,Grocery,26.15,15.15,1427,43
433,Northstar Dark Chocolate Bar #433,Grocery,15.83,7.08,746,76
434,Studio Green Tea Box,Grocery,6.1,2.85,1000,56
435,Cedar Dumbbell Set #435,Sports,75.11,36.32,1324,39
436,Compact Nail Kit #436,Beauty,75.35,50.61,0,69
437,Apex Smart Watch Band,Electronics,203.39,145.31,0,18
438,Lumen Bluetooth Speaker,Electronics,236.49,159.99,806,22
439,Orbit LED Desk Lamp,Home & Kitchen,111.97,75.33,678,45
440,Everyday Storage Bin,Home & Kitchen,107.05,76.53,1267,93
441,Orbit Puzzle Set,Toys,49.41,30.85,801,70
442,Summit Cycling Gloves,Sports,54.88,27.1,527,85
443,Cedar Lip Balm #443,Beauty,33.3,15.33,116,29
444,Apex Trail Mix Pack,Grocery,8.15,4.03,198,18
445,Urban Gym Bag #445,Sports,184.73,80.11,703,70
446,Pro Body Lotion,Beauty,40.59,18.78,1366,73
447,Nimbus HDMI Cable #447,Electronics,326.51,242.2,780,117
448,Harbor Plush Animal,Toys,69.39,50.36,1062,103
